"ID","ContinentID","ParentAreaID","AreaBit","Flags","SoundProviderPref","SoundProviderPrefUnderWater","AmbienceID","ZoneMusic","IntroSound","ExplorationLevel","AreaName_enUS","AreaName_enGB","AreaName_koKR","AreaName_frFR","AreaName_deDE","AreaName_enCN","AreaName_zhCN","AreaName_enTW","AreaName_zhTW","AreaName_esES","AreaName_esMX","AreaName_ruRU","AreaName_ptPT","AreaName_ptBR","AreaName_itIT","AreaName_Unk","AreaName_Mask","FactionGroupMask","LiquidTypeID_1","LiquidTypeID_2","LiquidTypeID_3","LiquidTypeID_4","MinElevation","AmbientMultiplier"
"1","0","0","119","65","0","11","42","8","0","0","","","","","","","","","Дун Морог","","","","","","","","16712190","2","0","0","0","0","-1007026176","0,3"
"2","0","40","120","1073741888","0","11","0","9","0","0","","","","","","","","","Бескрайний берег","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"3","0","0","121","64","0","11","25","7","0","0","","","","","","","","","Бесплодные земли","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,1"
"4","0","0","122","64","0","11","210","7","0","0","","","","","","","","","Выжженные земли","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"7","0","33","123","1073741888","0","11","0","3","0","0","","","","","","","","","Бухта Черноводья","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"8","0","0","124","64","0","11","33","223","0","0","","","","","","","","","Болото Печали","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,3"
"9","0","12","125","1076887552","0","11","35","1","0","0","","","","","","","","","Долина Североземья","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"10","0","0","617","64","0","11","40","2","0","0","","","","","","","","","Сумеречный лес","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,3"
"11","0","0","618","64","0","11","44","227","0","0","","","","","","","","","Болотина","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,3"
"12","0","0","126","64","0","11","35","1","0","0","","","","","","","","","Элвиннский лес","","","","","","","","16712190","2","0","0","0","0","-1007026176","0"
"13","0","10","555","1073741888","0","11","48","11","0","0","","","","","","","","","Древо Жизни","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"14","1","0","127","64","0","11","25","9","0","0","","","","","","","","","Дуротар","","","","","","","","16712190","4","0","0","0","0","-1007026176","0,4"
"15","1","0","128","64","0","11","33","227","0","0","","","","","","","","","Пылевые топи","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,4"
"16","1","0","129","64","0","11","31","205","0","0","","","","","","","","","Азшара","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,3"
"17","1","0","130","64","0","11","38","7","0","0","","","","","","","","","Степи","","","","","","","","16712190","4","0","0","0","0","-1007026176","0,3"
"18","0","12","131","1073741888","0","11","35","1","0","7","","","","","","","","","Озеро Хрустальное","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"19","0","33","574","1073741888","0","11","32","3","0","40","","","","","","","","","Зул'Гуруб","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"20","0","40","132","1073741888","0","11","0","9","0","14","","","","","","","","","Луноречье","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"21","0","0","133","64","0","11","0","8","0","0","","","","","","","","","Кул-Тирас","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"22","451","0","547","17472","0","11","38","2","0","0","","","","","","","","","Остров Программиста","","","","","","","","16712190","0","1","0","0","0","-1007026176","0"
"23","0","12","134","1074790464","0","11","35","0","0","0","","","","","","","","","Река Североземья","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"24","0","12","135","1076887552","73","11","35","1","67","0","","","","","","","","","Аббатство Североземья","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"25","0","0","136","64","0","11","46","10","0","0","","","","","","","","","Черная гора","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"26","0","40","602","1073741888","0","11","0","7","0","0","","","","","","","","","Маяк","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"28","0","0","137","64","0","11","37","205","0","0","","","","","","","","","Западные Чумные земли","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,3"
"30","0","0","138","64","0","11","0","0","0","0","","","","","","","","","Девять","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"32","0","10","139","1073741888","0","11","0","2","0","0","","","","","","","","","Кладбище","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"33","0","0","140","64","0","11","32","3","0","0","","","","","","","","","Тернистая долина","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,3"
"34","0","12","141","1073741824","0","11","35","1","0","0","","","","","","","","","Рудник Горного Эха","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"35","0","33","142","1075839040","0","11","0","3","0","42","","","","","","","","","Пиратская Бухта","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"36","0","0","143","64","0","11","31","1","0","0","","","","","","","","","Альтеракские горы","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,5"
"37","0","33","144","1073741888","0","11","0","3","0","36","","","","","","","","","Озеро Назферити","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"38","0","0","145","64","0","11","31","1","0","0","","","","","","","","","Лок Модан","","","","","","","","16712190","2","0","0","0","0","-1007026176","0,1"
"40","0","0","146","64","0","11","47","9","0","0","","","","","","","","","Западный Край","","","","","","","","16712190","2","0","0","0","0","-1007026176","0,1"
"41","0","0","556","64","0","11","49","2","0","0","","","","","","","","","Перевал Мертвого Ветра","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,3"
"42","0","10","147","1075839040","0","11","0","2","0","25","","","","","","","","","Темнолесье","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"43","0","33","148","1073741888","0","11","0","3","0","42","","","","","","","","","Пустынный берег","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"44","0","0","149","64","0","11","31","1","0","0","","","","","","","","","Красногорье","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,2"
"45","0","0","150","64","0","11","30","8","0","0","","","","","","","","","Нагорье Арати","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,2"
"46","0","0","151","64","0","11","46","10","0","0","","","","","","","","","Пылающие степи","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,1"
"47","0","0","152","64","0","11","31","1","0","0","","","","","","","","","Внутренние земли","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,4"
"49","451","22","153","1073741888","0","11","0","0","0","0","","","","","","","","","Нора Мертвеца","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"51","0","0","154","64","0","11","46","10","0","0","","","","","","","","","Тлеющее ущелье","","","","","","","","16712190","0","0","0","0","0","-1007026176","0,1"
"53","0","12","155","1073741888","0","11","35","1","0","0","","","","","","","","","Воровской лагерь","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"54","0","12","550","1073741888","0","11","35","1","0","8","","","","","","","","","Яшмовая шахта","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"55","0","12","156","1073741888","0","11","35","13","61","0","","","","","","","","","Аллея Героев НЕ ИСПОЛЬЗУЕТСЯ","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"56","0","12","157","1073741888","0","11","35","1","303","0","","","","","","","","","Часовые Вечности","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"57","0","12","158","1073741888","0","11","35","1","0","5","","","","","","","","","Рудник Подземных Глубин","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
"59","0","12","159","1074790400","0","11","35","1","0","0","","","","","","","","","Виноградники Североземья","","","","","","","","16712190","0","0","0","0","0","-1007026176","0"
