"ID","Condition_ID","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","Name1_Lang_enUS","Name1_Lang_enGB","Name1_Lang_koKR","Name1_Lang_frFR","Name1_Lang_deDE","Name1_Lang_enCN","Name1_Lang_zhCN","Name1_Lang_enTW","Name1_Lang_zhTW","Name1_Lang_esES","Name1_Lang_esMX","Name1_Lang_ruRU","Name1_Lang_ptPT","Name1_Lang_ptBR","Name1_Lang_itIT","Name1_Lang_Unk","Name1_Lang_Mask","Mask_ID"
"1","5879","","","","","","","","","Рядовой %s","","","","","","","","16712190","","","","","","","","","Рядовой %s","","","","","","","","16712190","1"
"2","5880","","","","","","","","","Капрал %s","","","","","","","","16712190","","","","","","","","","Капрал %s","","","","","","","","16712190","2"
"3","5881","","","","","","","","","Сержант %s","","","","","","","","16712190","","","","","","","","","Сержант %s","","","","","","","","16712190","3"
"4","5882","","","","","","","","","Старший сержант %s","","","","","","","","16712190","","","","","","","","","Старший сержант %s","","","","","","","","16712190","4"
"5","5883","","","","","","","","","Старшина %s","","","","","","","","16712190","","","","","","","","","Старшина %s","","","","","","","","16712190","5"
"6","5884","","","","","","","","","Рыцарь %s","","","","","","","","16712190","","","","","","","","","Рыцарь %s","","","","","","","","16712190","6"
"7","5885","","","","","","","","","Рыцарь-лейтенант %s","","","","","","","","16712190","","","","","","","","","Рыцарь-лейтенант %s","","","","","","","","16712190","7"
"8","5886","","","","","","","","","Рыцарь-капитан %s","","","","","","","","16712190","","","","","","","","","Рыцарь-капитан %s","","","","","","","","16712190","8"
"9","5887","","","","","","","","","Рыцарь-защитник %s","","","","","","","","16712190","","","","","","","","","Рыцарь-защитник %s","","","","","","","","16712190","9"
"10","5888","","","","","","","","","Лейтенант-командор %s","","","","","","","","16712190","","","","","","","","","Лейтенант-командор %s","","","","","","","","16712190","10"
"11","5889","","","","","","","","","Командор %s","","","","","","","","16712190","","","","","","","","","Командор %s","","","","","","","","16712190","11"
"12","5890","","","","","","","","","Маршал %s","","","","","","","","16712190","","","","","","","","","Маршал %s","","","","","","","","16712190","12"
"13","5891","","","","","","","","","Фельдмаршал %s","","","","","","","","16712190","","","","","","","","","Фельдмаршал %s","","","","","","","","16712190","13"
"14","5892","","","","","","","","","Главнокомандующий %s","","","","","","","","16712190","","","","","","","","","Главнокомандующий %s","","","","","","","","16712190","14"
"15","5893","","","","","","","","","Разведчик %s","","","","","","","","16712190","","","","","","","","","Разведчица %s","","","","","","","","16712190","15"
"16","5894","","","","","","","","","Пехотинец %s","","","","","","","","16712190","","","","","","","","","Пехотинец %s","","","","","","","","16712190","16"
"17","5895","","","","","","","","","Сержант %s","","","","","","","","16712190","","","","","","","","","Сержант %s","","","","","","","","16712190","17"
"18","5896","","","","","","","","","Старший сержант %s","","","","","","","","16712190","","","","","","","","","Старший сержант %s","","","","","","","","16712190","18"
"19","5897","","","","","","","","","Старшина %s","","","","","","","","16712190","","","","","","","","","Старшина %s","","","","","","","","16712190","19"
"20","5898","","","","","","","","","Каменный страж %s","","","","","","","","16712190","","","","","","","","","Каменный страж %s","","","","","","","","16712190","20"
"21","5899","","","","","","","","","Кровавый страж %s","","","","","","","","16712190","","","","","","","","","Кровавая стражница %s","","","","","","","","16712190","21"
"22","5900","","","","","","","","","Легионер %s","","","","","","","","16712190","","","","","","","","","Легионер %s","","","","","","","","16712190","22"
"23","5901","","","","","","","","","Центурион %s","","","","","","","","16712190","","","","","","","","","Центурион %s","","","","","","","","16712190","23"
"24","5902","","","","","","","","","Защитник %s","","","","","","","","16712190","","","","","","","","","Защитница %s","","","","","","","","16712190","24"
"25","5903","","","","","","","","","Генерал-лейтенант %s","","","","","","","","16712190","","","","","","","","","Генерал-лейтенант %s","","","","","","","","16712190","25"
"26","5904","","","","","","","","","Генерал %s","","","","","","","","16712190","","","","","","","","","Генерал %s","","","","","","","","16712190","26"
"27","5905","","","","","","","","","Вождь %s","","","","","","","","16712190","","","","","","","","","Вождь %s","","","","","","","","16712190","27"
"28","5906","","","","","","","","","Верховный вождь %s","","","","","","","","16712190","","","","","","","","","Верховный вождь %s","","","","","","","","16712190","28"
"42","0","","","","","","","","","Гладиатор %s","","","","","","","","16712190","","","","","","","","","Гладиатор %s","","","","","","","","16712190","29"
"43","0","","","","","","","","","Дуэлянт %s","","","","","","","","16712190","","","","","","","","","Дуэлянт %s","","","","","","","","16712190","30"
"44","0","","","","","","","","","Фаворит %s","","","","","","","","16712190","","","","","","","","","Фаворит %s","","","","","","","","16712190","31"
"45","0","","","","","","","","","Претендент %s","","","","","","","","16712190","","","","","","","","","Претендент %s","","","","","","","","16712190","32"
"46","6341","","","","","","","","","Повелитель Скарабеев %s","","","","","","","","16712190","","","","","","","","","Повелительница Скарабеев %s","","","","","","","","16712190","33"
"47","6407","","","","","","","","","Завоеватель %s","","","","","","","","16712190","","","","","","","","","Завоевательница %s","","","","","","","","16712190","34"
"48","6406","","","","","","","","","Вершитель правосудия %s","","","","","","","","16712190","","","","","","","","","Вершительница правосудия %s","","","","","","","","16712190","35"
