"ID","ModelID","SoundID","ExtendedDisplayInfoID","CreatureModelScale","CreatureModelAlpha","TextureVariation_1","TextureVariation_2","TextureVariation_3","PortraitTextureName","BloodLevel","BloodID","NPCSoundID","ParticleColorID","CreatureGeosetData","ObjectEffectPackageID"
"65008","3112","65008","0","0,1","255","","","","","-1","0","0","0","0","0"
"65010","371","65010","0","1,5","255","ImpSkinRed","","","","-1","1","0","339","0","0"
"65011","371","65011","0","1,5","255","ImpSkinRed","","","","-1","1","0","339","0","0"
"65012","371","65012","0","1,3","255","ImpSkinJade","","","","-1","1","0","311","0","0"
"65013","371","65013","0","1,3","255","ImpSkinJade","","","","-1","1","0","311","0","0"
"65016","160","65016","0","0,25","255","FireElementalSkin","","","","0","0","0","330","0","0"
"65019","2283","65019","0","3","255","InfernalSkin_Outland","InfernalSkin_Outland_02","","","-1","0","0","0","0","0"
"65024","69","65024","0","0,25","255","CrystalElementalSkinWhite","","","","-1","0","0","441","0","0"
"65025","69","65025","0","0,25","255","CrystalElementalSkinWhite","","","","-1","0","0","441","0","0"
"65032","207","65032","0","1,5","255","Wisp","WispGlow","","","0","0","0","442","0","0"
"65033","207","65033","0","1,5","255","Wisp","WispGlow","","","0","0","0","442","0","0"
