"ID","ModelName_1","ModelName_2","ModelTexture_1","ModelTexture_2","InventoryIcon_1","InventoryIcon_2","GeosetGroup_1","GeosetGroup_2","GeosetGroup_3","Flags","SpellVisualID","GroupSoundIndex","HelmetGeosetVis_1","HelmetGeosetVis_2","Texture_1","Texture_2","Texture_3","Texture_4","Texture_5","Texture_6","Texture_7","Texture_8","ItemVisual","ParticleColorID"
"70001","","","","","INV_Hammer_23","","0","0","0","0","0","8","0","0","","","","","","","","","0","0"
"70002","","","","","INV_Hammer_05","","0","0","0","0","0","8","0","0","","","","","","","","","0","0"
"70003","","","","","INV_Hammer_06","","0","0","0","0","0","8","0","0","","","","","","","","","0","0"
"100001","","","","","INV_Stone_SharpeningStone_01","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100002","","","","","INV_Stone_SharpeningStone_03","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100003","","","","","INV_Stone_SharpeningStone_04","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100004","","","","","INV_Stone_SharpeningStone_07","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100005","","","","","INV_Misc_ArmorKit_21","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100006","","","","","INV_Misc_ArmorKit_25","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100007","","","","","INV_Misc_ArmorKit_24","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100008","","","","","INV_Misc_ArmorKit_28","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100009","","","","","INV_Scroll_04","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100010","","","","","INV_Scroll_08","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100011","","","","","INV_Scroll_07","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100012","","","","","INV_Enchant_VoidCrystal","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100013","","","","","INV_Inscription_Scroll","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100014","","","","","INV_Inscription_Scroll","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100015","","","","","INV_Inscription_Scroll","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100016","","","","","INV_Inscription_Scroll","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"110000","","","","","INV_Gauntlets_18","","1","0","0","0","0","7","0","0","","Mail_B_01_Glove_AL","Mail_B_01_Glove_HA","","","","","","0","0"
"110001","","","","","INV_Gauntlets_25","","1","0","0","0","0","10","0","0","","Mail_B_01_Glove_AL","Mail_B_01_Glove_HA","","","","","","0","0"
"110002","","","","","INV_Pants_01","","0","0","0","0","0","7","0","0","","","","","","Leather_B_01_Pant_LU","Leather_B_01_Pant_LL","","0","0"
"110003","","","","","INV_Pants_06","","0","0","0","0","0","7","0","0","","","","","","Leather_B_01_Pant_LU","Leather_B_01_Pant_LL","","0","0"
"110004","","","","","INV_Pants_03","","0","0","0","0","0","10","0","0","","","","","","Leather_B_01_Pant_LU","Leather_B_01_Pant_LL","","0","0"
"110005","","","","","INV_Pants_08","","0","0","0","0","0","7","0","0","","","","","","Leather_B_02_Pant_LU","Leather_B_02_Pant_LL","","0","0"
"110006","","","","","INV_Pants_02","","0","0","0","0","0","7","0","0","","","","","","Leather_B_02_Pant_LU","Leather_B_02_Pant_LL","","0","0"
"110007","","","","","INV_Pants_10","","0","0","0","0","0","7","0","0","","","","","","Mail_B_01_Pant_LU","Mail_B_01_Pant_LL","","0","0"
"110008","","","","","INV_Pants_03","","0","0","0","0","0","10","0","0","","","","","","Mail_B_01_Pant_LU","Mail_B_01_Pant_LL","","0","0"
"110009","","","","","INV_Pants_04","","0","0","0","0","0","11","0","0","","","","","","Mail_B_01_Pant_LU","Mail_B_01_Pant_LL","","0","0"
"110010","","","","","INV_Pants_07","","0","0","0","0","0","7","0","0","","","","","","Leather_A_01_Pant_LU","Leather_A_01_Pant_LL","","0","0"
"110011","","","","","INV_Pants_09","","0","0","0","0","0","7","0","0","","","","","","Leather_A_01_Pant_LU","Leather_A_01_Pant_LL","","0","0"
