"ID","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","ItemID_1","ItemID_2","ItemID_3","ItemID_4","ItemID_5","ItemID_6","ItemID_7","ItemID_8","ItemID_9","ItemID_10","ItemID_11","ItemID_12","ItemID_13","ItemID_14","ItemID_15","ItemID_16","ItemID_17","SetSpellID_1","SetSpellID_2","SetSpellID_3","SetSpellID_4","SetSpellID_5","SetSpellID_6","SetSpellID_7","SetSpellID_8","SetThreshold_1","SetThreshold_2","SetThreshold_3","SetThreshold_4","SetThreshold_5","SetThreshold_6","SetThreshold_7","SetThreshold_8","RequiredSkill","RequiredSkillRank"
"1","","","","","","","","","Гладиатор","","","","","","","","16712190","11729","11726","11728","11731","11730","352421","352431","352441","352451","0","0","0","0","0","0","0","0","41864","41863","41862","41861","0","0","0","0","3","2","5","4","0","0","0","0","0","0"
"41","","","","","","","","","Руки Дал'Ренда","","","","","","","","16712190","12940","12939","352531","352541","0","0","0","0","0","0","0","0","0","0","0","0","0","41719","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"65","","","","","","","","","Поцелуй паука","","","","","","","","16712190","13218","13183","352551","352561","0","0","0","0","0","0","0","0","0","0","0","0","0","17332","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"81","","","","","","","","","Вестник","","","","","","","","16712190","13390","13388","13391","13392","13389","352571","352581","352591","352601","352611","0","0","0","0","0","0","0","41873","17498","41872","41871","41870","41869","0","0","2","5","4","3","3","5","0","0","0","0"
"121","","","","","","","","","Трупный наряд","","","","","","","","16712190","14637","14636","14640","14638","14641","352771","352781","352791","352801","352811","0","0","0","0","0","0","0","41681","41645","41680","41679","0","0","0","0","2","3","4","5","0","0","0","0","0","0"
"122","","","","","","","","","Одеяния Праха","","","","","","","","16712190","14631","14629","14632","14633","14626","352721","352731","352741","352751","352761","0","0","0","0","0","0","0","41827","41642","41826","41825","0","0","0","0","3","2","4","5","0","0","0","0","0","0"
"123","","","","","","","","","Регалии Кровавой кольчуги","","","","","","","","16712190","14614","14616","14615","14611","14612","352621","352631","352641","352651","352661","0","0","0","0","0","0","0","41674","41673","41672","41671","0","0","0","0","5","4","3","2","0","0","0","0","0","0"
"124","","","","","","","","","Костяной Страж","","","","","","","","16712190","14624","14622","14620","14623","14621","352671","352681","352691","352701","352711","0","0","0","0","0","0","0","41726","41725","41724","41723","0","0","0","0","2","3","4","5","0","0","0","0","0","0"
"141","","","","","","","","","Вулканические доспехи","","","","","","","","16712190","15053","15054","15055","352891","352892","352901","352902","352911","352912","0","0","0","0","0","0","0","0","9233","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"142","","","","","","","","","Доспехи Грозового покрова","","","","","","","","16712190","15056","15057","15058","21278","352921","352931","352941","355201","0","0","0","0","0","0","0","0","0","18979","23863","41845","0","0","0","0","0","2","3","4","0","0","0","0","0","0","0"
