"ID","Directory","InstanceType","Flags","PVP","MapName_Lang_enUS","MapName_Lang_enGB","MapName_Lang_koKR","MapName_Lang_frFR","MapName_Lang_deDE","MapName_Lang_enCN","MapName_Lang_zhCN","MapName_Lang_enTW","MapName_Lang_zhTW","MapName_Lang_esES","MapName_Lang_esMX","MapName_Lang_ruRU","MapName_Lang_ptPT","MapName_Lang_ptBR","MapName_Lang_itIT","MapName_Lang_Unk","MapName_Lang_Mask","AreaTableID","MapDescription0_Lang_enUS","MapDescription0_Lang_enGB","MapDescription0_Lang_koKR","MapDescription0_Lang_frFR","MapDescription0_Lang_deDE","MapDescription0_Lang_enCN","MapDescription0_Lang_zhCN","MapDescription0_Lang_enTW","MapDescription0_Lang_zhTW","MapDescription0_Lang_esES","MapDescription0_Lang_esMX","MapDescription0_Lang_ruRU","MapDescription0_Lang_ptPT","MapDescription0_Lang_ptBR","MapDescription0_Lang_itIT","MapDescription0_Lang_Unk","MapDescription0_Lang_Mask","MapDescription1_Lang_enUS","MapDescription1_Lang_enGB","MapDescription1_Lang_koKR","MapDescription1_Lang_frFR","MapDescription1_Lang_deDE","MapDescription1_Lang_enCN","MapDescription1_Lang_zhCN","MapDescription1_Lang_enTW","MapDescription1_Lang_zhTW","MapDescription1_Lang_esES","MapDescription1_Lang_esMX","MapDescription1_Lang_ruRU","MapDescription1_Lang_ptPT","MapDescription1_Lang_ptBR","MapDescription1_Lang_itIT","MapDescription1_Lang_Unk","MapDescription1_Lang_Mask","LoadingScreenID","MinimapIconScale","CorpseMapID","CorpseX","CorpseY","TimeOfDayOverride","ExpansionID","RaidOffset","MaxPlayers"
"0","Azeroth","0","0","0","","","","","","","","","Восточные королевства","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","4","1","-1","0","0","-1","0","0","0"
"1","Kalimdor","0","0","0","","","","","","","","","Калимдор","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","3","1","-1","0","0","-1","0","0","0"
"13","test","0","2","0","","","","","","","","","Тестирование","","","","","","","","16712190","3817","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","0"
"25","ScottTest","0","2","0","","","","","","","","","Тест Скотта","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","0"
"30","PVPZone01","3","0","1","","","","","","","","","Альтеракская долина","","","","","","","","16712190","0","","","","","","","","","Альтеракская долина, затерянная среди одноименных гор, служит домом орочьему клану Северного Волка, к которому принадлежит сам Тралл.Дворфы Грозовой Вершины вторглись в эту долину в поисках подземных сокровищ и знаний о своем прошлом.Не желая терпеть чужаков, орки собрали армию... армию, готовую к жестокой и праведной битве.","","","","","","","","16712190","","","","","","","","","Альтеракская долина, затерянная среди одноименных гор, служит домом орочьему клану Северного Волка, к которому принадлежит сам Тралл.Дворфы Грозовой Вершины вторглись в эту долину в поисках подземных сокровищ и знаний о своем прошлом.Не желая терпеть чужаков, орки собрали армию... армию, готовую к жестокой и праведной битве.","","","","","","","","16712190","104","1","-1","0","0","-1","0","0","0"
"33","Shadowfang","1","0","0","","","","","","","","","Крепость Темного Клыка","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","204","1","0","-230,9894","1571,57","-1","0","0","10"
"34","StormwindJail","1","0","0","","","","","","","","","Тюрьма Штормграда","","","","","","","","16712190","717","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","194","1","0","-8762,379","848,0103","-1","0","0","10"
"35","StormwindPrison","0","0","0","","","","","","","","","<UNUSED> Тюрьма Штормграда","","","","","","","","16712190","717","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","23","1","0","-8762,477","848,0491","-1","0","0","0"
"36","DeadminesInstance","1","0","0","","","","","","","","","Мертвые копи","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","142","1","0","-11207,8","1681,151","-1","0","0","10"
"37","PVPZone02","0","0","1","","","","","","","","","Кратер Азшары","","","","","","","","16712190","0","","","","","","","","","Сокрушите Альянс!","","","","","","","","16712190","","","","","","","","","Отражайте нападение Орды!","","","","","","","","16712191","25","1","-1","0","0","-1","0","0","0"
"42","Collin","0","2","0","","","","","","","","","Тест Коллина","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","0"
"43","WailingCaverns","1","0","0","","","","","","","","","Пещеры Стенаний","","","","","","","","16712190","718","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","143","1","1","-751,1312","-2209,24","-1","0","0","10"
"44","Monastery","1","0","0","","","","","","","","","<UNUSED> Монастырь","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","42","1","0","2892,413","-811,2413","-1","0","0","10"
"47","RazorfenKraulInstance","1","0","0","","","","","","","","","Лабиринты Иглошкурых","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","188","1","1","-4459,449","-1660,212","-1","0","0","10"
"48","Blackfathom","1","0","0","","","","","","","","","Непроглядная Пучина","","","","","","","","16712190","719","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","196","1","1","4249,121","748,3871","-1","0","0","10"
"70","Uldaman","1","0","0","","","","","","","","","Ульдаман","","","","","","","","16712190","1337","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","144","1","0","-6060,182","-2954,997","-1","0","0","10"
"90","GnomeragonInstance","1","0","0","","","","","","","","","Гномреган","","","","","","","","16712190","721","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","193","1","0","-5162,662","931,5988","-1","0","0","10"
"109","SunkenTemple","1","0","0","","","","","","","","","Затонувший храм","","","","","","","","16712190","1477","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","191","1","0","-10170,1","-3995,968","-1","0","0","10"
"129","RazorfenDowns","1","0","0","","","","","","","","","Курганы Иглошкурых","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","145","1","1","-4662,883","-2535,872","-1","0","0","10"
"169","EmeraldDream","2","0","0","","","","","","","","","Изумрудный Сон","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","40"
"189","MonasteryInstances","1","0","0","","","","","","","","","Монастырь Алого ордена","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","190","1","0","2892,235","-811,2637","-1","0","0","10"
