    { pool=1, name="+1 Сила", min=1, max=20 },
    { pool=1, name="+2 Сила", min=10, max=30 },
    { pool=1, name="+3 Сила", min=20, max=40 },
    { pool=1, name="+1 Ловкость", min=1, max=20 },
    { pool=1, name="+2 Ловкость", min=10, max=30 },
    { pool=1, name="+3 Ловкость", min=20, max=40 },
    { pool=1, name="+4 Ловкость", min=30, max=50 },
    { pool=1, name="+5 Ловкость", min=40, max=60 },
    { pool=1, name="+6 Ловкость", min=50, max=70 },
    { pool=1, name="+7 Ловкость", min=60, max=80 },
    { pool=1, name="+4 Сила", min=30, max=50 },
    { pool=1, name="+5 Сила", min=40, max=60 },
    { pool=1, name="+6 Сила", min=50, max=70 },
    { pool=1, name="+7 Сила", min=60, max=80 },
    { pool=1, name="+14 Крит. рейтинг", min=60, max=95, mask=351535086 },
    { pool=1, name="+28 Крит. рейтинг", min=44, max=145, mask=351535086 },
    { pool=1, name="+28 Крит. рейтинг", min=80, max=185, mask=351535086 },
    { pool=1, name="+42 Крит. рейтинг", min=106, max=215, mask=351535086 },
    { pool=1, name="+42 Крит. рейтинг", min=140, max=200, mask=351535086 },
    { pool=1, name="+56 Крит. рейтинг", min=159, max=275, mask=351535086 },
    { pool=1, name="+56 Крит. рейтинг", min=200, max=300, mask=351535086 },
    { pool=1, name="+8 Ловкость", min=44, max=145, mask=351535086 },
    { pool=1, name="+9 Ловкость", min=53, max=155, mask=351535086 },
    { pool=1, name="+8 Сила", min=44, max=145, mask=351535086 },
    { pool=1, name="+9 Сила", min=53, max=155, mask=351535086 },
    { pool=1, name="+10 Ловкость", min=61, max=165, mask=351535086 },
    { pool=1, name="+10 Сила", min=61, max=165, mask=351535086 },
    { pool=1, name="+11 Ловкость", min=71, max=175, mask=351535086 },
    { pool=1, name="+11 Сила", min=71, max=175, mask=351535086 },
    { pool=1, name="+12 Ловкость", min=80, max=185, mask=351535086 },
    { pool=1, name="+12 Сила", min=80, max=185, mask=351535086 },
    { pool=1, name="+13 Ловкость", min=88, max=195, mask=351535086 },
    { pool=1, name="+14 Ловкость", min=97, max=205, mask=351535086 },
    { pool=1, name="+13 Сила", min=88, max=195, mask=351535086 },
    { pool=1, name="+14 Сила", min=97, max=205, mask=351535086 },
    { pool=1, name="+15 Сила", min=106, max=215, mask=351535086 },
    { pool=1, name="+15 Ловкость", min=106, max=215, mask=351535086 },
    { pool=1, name="+10 Скорость", min=60, max=155, mask=351535086 },
    { pool=1, name="+16 Ловкость", min=115, max=225, mask=351535086 },
    { pool=1, name="+16 Сила", min=115, max=225, mask=351535086 },
    { pool=1, name="+18 Сила", min=128, max=240, mask=351535086 },
    { pool=1, name="+20 Сила", min=141, max=255, mask=351535086 },
    { pool=1, name="+25 Сила", min=155, max=270, mask=351535086 },
    { pool=1, name="+30 Сила", min=165, max=285, mask=351535086 },
    { pool=1, name="+35 Сила", min=187, max=300, mask=351535086 },
    { pool=1, name="+40 Сила", min=194, max=315, mask=351535086 },
    { pool=1, name="+18 Ловкость", min=128, max=240, mask=351535086 },
    { pool=1, name="+20 Ловкость", min=141, max=255, mask=351535086 },
    { pool=1, name="+25 Ловкость", min=155, max=270, mask=351535086 },
    { pool=1, name="+30 Ловкость", min=165, max=285, mask=351535086 },
    { pool=1, name="+35 Ловкость", min=187, max=300, mask=351535086 },
