"ID","ModelName_1","ModelName_2","ModelTexture_1","ModelTexture_2","InventoryIcon_1","InventoryIcon_2","GeosetGroup_1","GeosetGroup_2","GeosetGroup_3","Flags","SpellVisualID","GroupSoundIndex","HelmetGeosetVis_1","HelmetGeosetVis_2","Texture_1","Texture_2","Texture_3","Texture_4","Texture_5","Texture_6","Texture_7","Texture_8","ItemVisual","ParticleColorID"
"100001","","","","","INV_Stone_SharpeningStone_01","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100002","","","","","INV_Stone_SharpeningStone_03","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100003","","","","","INV_Stone_SharpeningStone_04","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100004","","","","","INV_Stone_SharpeningStone_07","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100005","","","","","INV_Misc_ArmorKit_21","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100006","","","","","INV_Misc_ArmorKit_25","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100007","","","","","INV_Misc_ArmorKit_24","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100008","","","","","INV_Misc_ArmorKit_28","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100009","","","","","INV_Scroll_04","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100010","","","","","INV_Scroll_08","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100011","","","","","INV_Scroll_07","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100012","","","","","INV_Enchant_VoidCrystal","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100013","","","","","INV_Inscription_Scroll","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100014","","","","","INV_Inscription_Scroll","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100015","","","","","INV_Inscription_Scroll","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
"100016","","","","","INV_Inscription_Scroll","","0","0","0","0","0","0","0","0","","","","","","","","","0","0"
