"ID","SkillLine","Spell","RaceMask","ClassMask","MinSkillLineRank","SupercededBySpell","AcquireMethod","TrivialSkillLineRankHigh","TrivialSkillLineRankLow","CharacterPoints_1","CharacterPoints_2","TradeSkillCategoryID"
"100001","164","100001","0","0","25","0","1","0","0","75","25","0"
"100002","164","100002","0","0","100","0","1","0","0","150","100","0"
"100003","164","100003","0","0","175","0","1","0","0","225","175","0"
"100004","164","100004","0","0","250","0","1","0","0","300","250","0"
"100005","165","100005","0","0","25","0","1","0","0","75","25","0"
"100006","165","100006","0","0","100","0","1","0","0","150","100","0"
"100007","165","100007","0","0","175","0","1","0","0","225","175","0"
"100008","165","100008","0","0","250","0","1","0","0","300","250","0"
"100009","333","100009","0","0","25","0","1","0","0","75","25","0"
"100010","333","100010","0","0","100","0","1","0","0","150","100","0"
"100011","333","100011","0","0","175","0","1","0","0","225","175","0"
"100012","333","100012","0","0","250","0","1","0","0","300","250","0"
"100013","773","100013","0","0","25","0","1","0","0","75","25","0"
"100014","773","100014","0","0","100","0","1","0","0","150","100","0"
"100015","773","100015","0","0","175","0","1","0","0","225","175","0"
"100016","773","100016","0","0","250","0","1","0","0","300","250","0"
