ID,Charges,Effect_1,Effect_2,Effect_3,EffectPointsMin_1,EffectPointsMin_2,EffectPointsMin_3,EffectPointsMax_1,EffectPointsMax_2,EffectPointsMax_3,EffectArg_1,EffectArg_2,EffectArg_3,Name_Lang_enUS,Name_Lang_enGB,Name_Lang_koKR,Name_Lang_frFR,Name_Lang_deDE,Name_Lang_enCN,Name_Lang_zhCN,Name_Lang_enTW,Name_Lang_zhTW,Name_Lang_esES,Name_Lang_esMX,Name_Lang_ruRU,Name_Lang_ptPT,Name_Lang_ptBR,Name_Lang_itIT,Name_Lang_Unk,Name_Lang_Mask,ItemVisual,Flags,Src_ItemID,Condition_Id,RequiredSkillID,RequiredSkillRank,MinLevel
90001,0,3,0,0,0,0,0,0,0,0,22586,0,0,,,,,,,,,##SB##Удача: +5% к скорости передвижения,,,,,,,,16712190,0,0,0,0,0,0,0
90002,0,3,0,0,0,0,0,0,0,0,22587,0,0,,,,,,,,,##SB##Удача: +8% к скорости передвижения,,,,,,,,16712190,0,0,0,0,0,0,0
90003,0,3,0,0,0,0,0,0,0,0,10665,0,0,,,,,,,,,##SB##Удача: Хождение по воде,,,,,,,,16712190,0,0,0,0,0,0,0
90004,0,3,0,0,0,0,0,0,0,0,8747,0,0,,,,,,,,,##SB##Удача: +15% к скорости плавания,,,,,,,,16712190,0,0,0,0,0,0,0
90005,0,3,0,0,0,0,0,0,0,0,48777,0,0,,,,,,,,,##SB##Удача: +3% к скорости маунта,,,,,,,,16712190,0,0,0,0,0,0,0
90007,0,3,0,0,0,0,0,0,0,0,58985,0,0,,,,,,,,,##SB##Удача: Обнаружение незаметности,,,,,,,,16712190,0,0,0,0,0,0,0
90008,0,3,0,0,0,0,0,0,0,0,18677,0,0,,,,,,,,,##SB##Удача: +6 ко всем сопротивлениям,,,,,,,,16712190,0,0,0,0,0,0,0
90009,0,3,0,0,0,0,0,0,0,0,18681,0,0,,,,,,,,,##SB##Удача: +10 ко всем сопротивлениям,,,,,,,,16712190,0,0,0,0,0,0,0
90010,0,3,0,0,0,0,0,0,0,0,21348,0,0,,,,,,,,,##SB##Удача: +6 к здоровью за 5 сек.,,,,,,,,16712190,0,0,0,0,0,0,0
90011,0,3,0,0,0,0,0,0,0,0,21349,0,0,,,,,,,,,##SB##Удача: +10 к здоровью за 5 сек.,,,,,,,,16712190,0,0,0,0,0,0,0
90012,0,3,0,0,0,0,0,0,0,0,25063,0,0,,,,,,,,,##SB##Удача: +2% к угрозе,,,,,,,,16712190,0,0,0,0,0,0,0
90013,0,3,0,0,0,0,0,0,0,0,23172,0,0,,,,,,,,,##SB##Удача: +20 к блокированию,,,,,,,,16712190,0,0,0,0,0,0,0
90014,0,3,0,0,0,0,0,0,0,0,23515,0,0,,,,,,,,,##SB##Удача: +27 к блокированию,,,,,,,,16712190,0,0,0,0,0,0,0
90015,0,3,0,0,0,0,0,0,0,0,9332,0,0,,,,,,,,,##SB##Удача: +22 к силе атаки,,,,,,,,16712190,0,0,0,0,0,0,0
90016,0,3,0,0,0,0,0,0,0,0,9336,0,0,,,,,,,,,##SB##Удача: +30 к силе атаки,,,,,,,,16712190,0,0,0,0,0,0,0
